[02:47:50] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:54:59] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:54:59] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:54:59] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:00] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:00] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:00] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:00] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:01] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:01] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:01] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:01] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:02] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:02] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:02] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:02] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:02] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:02] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:02] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:02] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:02] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:03] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:03] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:03] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:03] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:03] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:03] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:03] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:03] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:03] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:04] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:04] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:04] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:04] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:04] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:04] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:04] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:04] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:05] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:05] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:05] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:05] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:05] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:05] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:05] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:05] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:05] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:05] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:06] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:06] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:07] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:07] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:07] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:07] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:07] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:07] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:08] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:08] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:08] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:08] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:08] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:08] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:09] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:09] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:09] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:09] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:09] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:09] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:10] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:10] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:10] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:10] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:10] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:10] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:10] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:10] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:10] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:10] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1763, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=953, attrs=[MaxDS,DS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1090, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=568, attrs=[MaxDS,DS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1185, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=589, attrs=[MaxDS,DS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:11] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:11] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:12] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:12] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:12] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:12] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:12] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:12] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:13] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:13] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:13] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:13] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:13] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:13] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:15] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:15] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:15] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:15] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:15] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:15] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:16] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:16] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:16] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:16] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:16] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:16] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:16] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
[02:55:16] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:16] [ATTR] [ATTR_TRACE] AccessoryStatus | type=DS, base=0, result=0
[02:55:16] [ATTR] [ATTR_TRACE] ChipsetStatus | base=749, attrs=[MaxDS,DS], result=0
[02:55:17] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:17] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1270, attrs=[MaxDS], result=0
[02:55:17] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1280, attrs=[MaxHP], result=0
[02:55:17] [ATTR] [ATTR_TRACE] AccessoryStatus | type=HP, base=0, result=0
[02:55:17] [ATTR] [ATTR_TRACE] ChipsetStatus | base=1535, attrs=[MaxHP], result=0
